Timestamp,Namespace,PodName,ContainerName,LogEntry
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Izenpe.com.pem -> cc450945.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link CA_Disig_Root_R2.pem -> 2ae6433e.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Starfield_Class_2_CA.pem -> f387163d.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Entrust_Root_Certification_Authority.pem -> 6b99d060.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link AC_RAIZ_FNMT-RCM_SERVIDORES_SEGUROS.pem -> b81b93f0.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Certigna_Root_CA.pem -> f51bb24c.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Certum_Trusted_Network_CA.pem -> 48bec511.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link E-Tugra_Certification_Authority.pem -> 5273a94c.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Trustwave_Global_ECC_P384_Certification_Authority.pem -> d887a5bb.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link SecureSign_RootCA11.pem -> 18856ac4.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link TUBITAK_Kamu_SM_SSL_Kok_Sertifikasi_-_Surum_1.pem -> ff34af3f.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link Hongkong_Post_Root_CA_1.pem -> 3e45d192.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","link DigiCert_Assured_ID_Root_G2.pem -> 9d04f354.0"
"26-05-2023 14:34:06.930",user,"rapp-4dbb7344-4047-4735-bdb3-9e1d54283672-86957b48b6-x22jp","80041f00-b76e-4684-8849-ec3d3ec24458/rshiny","Doing ."
